"","ridge","lasso","pcr","pls","ols"
"Income",-0.568706768876257,-0.551660634499836,-0.59817148611665,-0.598169519788119,-0.598171486116649
"Limit",0.71865790250328,0.925046802406183,0.958438721691566,0.958435941978321,0.958438721691568
"Rating",0.593058826568899,0.367874929120952,0.382478948686554,0.382480016065423,0.382478948686551
"Cards",0.0442527557299502,0.044997722186247,0.0528649689520766,0.052852661884033,0.0528649689520766
"Age",-0.0253849308233317,-0.0166600330446574,-0.0230333966305364,-0.0230269212079727,-0.0230333966305363
"Education",-0.00587965147557269,0,-0.00746945898300264,-0.00748210636451053,-0.00746945898300192
"GenderFemale",-0.0106777734650516,0,-0.0115930920552356,-0.0116282315161431,-0.0115930920552362
"StudentYes",0.273184180864771,0.266813042879353,0.278154853315599,0.278162866097259,0.278154853315599
"MarriedYes",-0.0110277608494665,0,-0.00905419627269026,-0.00908475422928907,-0.00905419627269035
"EthnicityAsian",0.0163787286597958,0,0.0159506708696321,0.0159514525050906,0.0159506708696324
"EthnicityCaucasian",0.0110117892431826,0,0.0110052863305143,0.0109983827802628,0.0110052863305141
